id,genre
135397,Action|Adventure|Science Fiction|Thriller
76341,Action|Adventure|Science Fiction|Thriller
262500,Adventure|Science Fiction|Thriller
140607,Action|Adventure|Science Fiction|Fantasy
168259,Action|Crime|Thriller
281957,Western|Drama|Adventure|Thriller
87101,Science Fiction|Action|Thriller|Adventure
286217,Drama|Adventure|Science Fiction
211672,Family|Animation|Adventure|Comedy
150540,Comedy|Animation|Family
206647,Action|Adventure|Crime
76757,Science Fiction|Fantasy|Action|Adventure
264660,Drama|Science Fiction
257344,Action|Comedy|Science Fiction
99861,Action|Adventure|Science Fiction
273248,Crime|Drama|Mystery|Western
260346,Crime|Action|Thriller
102899,Science Fiction|Action|Adventure
150689,Romance|Fantasy|Family|Drama
131634,War|Adventure|Science Fiction
158852,Action|Family|Science Fiction|Adventure|Mystery
307081,Action|Drama
254128,Action|Drama|Thriller
216015,Drama|Romance
318846,Comedy|Drama
177677,Action
214756,Comedy
207703,Crime|Comedy|Action|Adventure
314365,Drama|Thriller|History
294254,Action|Science Fiction|Thriller
280996,Mystery|Drama
198184,Crime|Action|Science Fiction
254470,Comedy|Music
296098,Thriller|Drama
257445,Adventure|Horror|Comedy
264644,Drama|Thriller
339527,Crime|Drama|Mystery
105864,Adventure|Animation|Comedy|Family|Fantasy
241554,Action|Crime|Drama|Mystery|Thriller
167073,Drama|Romance
277216,Drama|Music
274854,Fantasy|Action|Adventure
321697,History|Drama
203801,Comedy|Action|Adventure
293863,Fantasy|Drama|Romance
325348,Action|Adventure|Science Fiction
228161,Fantasy|Comedy|Animation|Science Fiction|Family
286565,Drama|Mystery|Romance
265208,Thriller|Crime|Drama
254320,Thriller|Comedy|Drama|Romance|Science Fiction
258480,Romance|Drama
257211,Comedy
253412,Adventure|Drama
274479,Comedy|Drama
257088,Action|Crime|Thriller
295964,Drama
238615,Science Fiction|Mystery|Thriller
210860,Comedy|Adventure
306819,Drama
201088,Mystery|Crime|Action|Thriller|Drama
273481,Action|Crime|Drama|Mystery|Thriller
166424,Action|Adventure|Science Fiction
310131,Mystery|Horror
238713,Action|Comedy|Crime
256591,Romance|Comedy|Crime|Drama
249070,Action|Crime|Thriller
205775,Thriller|Drama|Adventure|Action|History
334074,Crime|Thriller|Action
312221,Drama
271718,Comedy
333352,Drama|Thriller|War
276907,Crime|Thriller
284289,Thriller
266647,Adventure|Family|Fantasy
347096,Action|Adventure|Fantasy
308369,Comedy|Drama
227973,Adventure|Animation|Comedy|Family
321741,Drama
296100,Comedy
263472,Drama|Horror|Thriller
228205,Romance|Drama
159824,Animation|Comedy|Family
333348,Family|Comedy
285783,Adventure|Drama|Thriller
290764,Action|Crime|Drama
296099,Adventure|Comedy
243688,Horror|Thriller
287424,Horror
301875,Drama|Romance|Science Fiction
181283,Crime|Thriller
328425,Thriller|Mystery
274167,Comedy
370687,Fantasy|Action|Adventure
307663,Thriller|Science Fiction|Action|Adventure
309809,Adventure|Animation|Fantasy
258509,Adventure|Animation|Comedy|Family
298382,Drama
272693,Romance|Comedy
283445,Horror
256961,Action|Adventure|Comedy|Family
326359,Adventure|Animation|Family
254302,Action|Drama|Science Fiction
241251,Thriller
292040,Thriller|Action
188222,Comedy
252838,Comedy
273477,Comedy|Horror
298312,Horror|Thriller
261023,Crime|Drama
336004,Crime|Action|Thriller
287903,Horror|Comedy|Fantasy
182560,Drama|Mystery|Thriller
192141,Action|Thriller
308639,Crime|Drama|Comedy
261392,Comedy|Action
304357,Drama
297291,Action|Fantasy|Adventure
266294,Comedy
227719,Science Fiction|Thriller
86828,Comedy|Science Fiction
287948,Thriller|Action|Crime
201085,Mystery|Thriller|Fantasy|Horror|Drama
277355,Thriller|Action
264999,Comedy|Drama|Music
146301,Horror|Thriller
223485,Romance|Thriller|Western
294016,Drama
290751,Crime|Drama|Mystery
309245,Comedy
228165,Family|Animation
245706,Crime|Drama|Mystery
272878,Adventure|Drama|Family
263109,Family|Animation|Comedy|Adventure
157827,Drama
321751,Comedy|Drama
266396,Action|Drama|Crime
277685,Horror|Thriller
268920,Action|Crime|Comedy
280092,Drama|Horror|Thriller
193687,Drama|Science Fiction|Thriller
